provnum,STATE,overall_rating,survey_rating,quality_rating,staffing_rating,WEIGHTED_ALL_CYCLES_SCORE,SFF
45151,AR,4,4,4,4,28,N
45153,AR,4,3,4,4,40.667,N
45155,AR,3,4,1,4,33.333,N
45157,AR,3,2,5,2,55.333,N
45158,AR,2,2,3,3,76.667,N
45163,AR,4,4,2,3,23.333,N
45165,AR,4,4,3,3,28.667,N
45166,AR,2,1,5,4,130,N
45167,AR,2,2,2,3,86,N
45168,AR,2,2,1,4,72.5,N
45170,AR,5,4,5,4,33.333,N
45172,AR,1,2,4,1,85.333,N
45173,AR,3,3,4,3,53.333,N
45176,AR,4,4,2,3,23.333,N
45177,AR,3,3,1,4,37.333,N
45178,AR,4,4,4,3,24,N
45180,AR,2,2,1,4,58.667,N
45181,AR,3,3,1,4,50.667,N
45182,AR,3,2,5,3,62.167,N
45183,AR,5,3,5,4,39,N
45184,AR,4,2,5,4,88.833,N
45187,AR,5,3,5,4,40.667,N
45189,AR,1,1,4,3,172,N
45190,AR,3,2,2,4,58,N
45191,AR,5,3,5,4,43.333,N
45192,AR,1,1,2,3,364.5,N
45194,AR,1,2,1,3,72,N
45195,AR,4,4,4,3,27.333,N
45196,AR,2,2,4,3,58.667,N
45197,AR,5,5,3,4,12,N
45198,AR,1,2,1,,70.333,N
45199,AR,4,3,5,3,51.333,N
45201,AR,5,4,5,3,32.667,N
45202,AR,2,1,5,4,421.5,N
45203,AR,1,2,1,3,91,N
45207,AR,4,2,5,4,57.333,N
45208,AR,5,5,2,2,18.667,N
45209,AR,5,4,5,3,24.667,N
45211,AR,1,2,1,3,58,N
45212,AR,1,1,1,3,287.833,N
45214,AR,5,3,5,4,40.667,N
45216,AR,4,4,4,4,30,N
45217,AR,3,2,3,4,78.167,N
45218,AR,4,4,2,4,19.333,N
45219,AR,4,3,5,3,46.667,N
45220,AR,1,1,4,1,111.833,N
45221,AR,3,2,3,4,96.667,N
45222,AR,4,2,5,4,60,N
45227,AR,2,2,3,3,64.333,N
45228,AR,2,1,3,4,158,N
45229,AR,3,3,1,4,38,N
45232,AR,2,2,3,3,63.333,N
45235,AR,3,3,2,2,51.333,N
45236,AR,3,3,3,3,34.667,N
45239,AR,4,3,5,3,34.667,N
45241,AR,5,3,5,4,50.667,N
45242,AR,5,5,4,3,16.667,N
45243,AR,5,4,5,4,34,N
45244,AR,5,5,4,3,14.667,N
45245,AR,4,4,4,3,32.667,N
45246,AR,4,4,2,4,23.333,N
45247,AR,4,4,4,4,34,N
45248,AR,5,4,5,3,27,N
45250,AR,3,4,1,4,31,N
45254,AR,3,2,5,3,100.333,N
45256,AR,4,4,2,3,24.667,N
45259,AR,1,1,1,4,284.667,N
45266,AR,4,3,5,3,34.333,N
45267,AR,5,5,4,3,16,N
45268,AR,2,2,4,3,60.667,N
45269,AR,4,4,4,4,24,N
45270,AR,5,5,3,3,15.333,N
45271,AR,4,4,2,3,24.667,N
45275,AR,5,4,5,4,34,N
45277,AR,1,1,2,3,139.333,N
45280,AR,5,4,5,3,25.333,N
45284,AR,5,4,5,3,19.333,N
45287,AR,4,5,1,4,16,N
45288,AR,2,2,3,3,99,N
45289,AR,2,2,2,2,88.167,N
45290,AR,3,3,2,3,49.333,N
45295,AR,1,2,2,1,98,N
45297,AR,5,5,2,5,14.667,N
45300,AR,2,2,2,2,62,N
45301,AR,5,5,3,4,16,N
45302,AR,3,3,4,3,42.667,N
45303,AR,5,3,5,5,53.333,N
45304,AR,5,3,5,4,38,N
45305,AR,2,2,2,3,70.5,N
45306,AR,4,4,4,3,33.333,N
45307,AR,5,5,2,5,18.667,N
45308,AR,4,4,4,4,33.667,N
45311,AR,2,1,4,4,373,N
45312,AR,1,1,4,1,140.333,N
45313,AR,1,1,1,3,288.5,N
45314,AR,1,1,1,5,659.833,N
45315,AR,4,2,5,4,58,N
45317,AR,3,2,3,4,88.5,N
45318,AR,3,2,3,4,84.667,N
45321,AR,3,2,4,4,66.667,N
45322,AR,5,3,5,4,36,N
45323,AR,1,2,1,3,103,N
45326,AR,3,3,4,3,46.833,N
45327,AR,4,3,5,3,38,N
45332,AR,2,3,1,3,34.667,N
45334,AR,3,2,3,4,62.667,N
45337,AR,1,1,2,3,113,N
45338,AR,3,3,4,3,57.333,N
45339,AR,4,4,4,4,30.667,N
45340,AR,3,4,1,4,22,N
45341,AR,1,1,1,4,208.333,N
45342,AR,5,4,5,3,22,N
45343,AR,4,2,5,4,82,N
45345,AR,2,1,2,4,109.167,N
45346,AR,1,2,1,3,73.5,N
45348,AR,1,1,1,4,165,N
45350,AR,4,3,2,4,38.667,N
45351,AR,2,2,2,3,57.667,N
45352,AR,4,4,5,1,33.333,N
45353,AR,2,2,4,3,79.333,N
45354,AR,3,4,2,1,31.667,N
45356,AR,4,4,2,3,34,N
45357,AR,3,2,4,4,83.5,N
45358,AR,4,3,5,3,35.333,N
45359,AR,1,1,1,3,210,N
45361,AR,2,1,3,4,208.667,N
45363,AR,1,1,2,3,217.333,N
45364,AR,5,5,5,3,9.333,N
45365,AR,2,1,2,4,144.167,N
45366,AR,5,5,5,3,16,N
45367,AR,5,3,5,4,41.333,N
45369,AR,4,4,4,4,25.333,N
45370,AR,5,5,3,3,8,N
45371,AR,4,4,3,4,23.333,N
45372,AR,4,2,5,4,99.667,N
45373,AR,4,4,3,4,20.667,N
45374,AR,2,1,4,5,134,N
45376,AR,4,4,4,3,29.333,N
45377,AR,5,5,3,4,18,N
45378,AR,1,2,1,2,89.667,N
